timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;circulatingSupply;timestamp
2013-10-23T00:00:00.000Z;2013-10-23T23:59:59.999Z;2013-10-23T00:00:00.000Z;2013-10-23T00:00:00.000Z;193.36000061;213.619995117;192.380004883;213.619995117;0;2540139398.5;11890925;2013-10-23T23:59:59.999Z
2013-10-24T00:00:00.000Z;2013-10-24T23:59:59.999Z;2013-10-24T00:00:00.000Z;2013-10-24T00:00:00.000Z;214.300003052;217.419998169;168.520004272;198.229995728;0;2358198593.25;11896275;2013-10-24T23:59:59.999Z
2013-10-25T00:00:00.000Z;2013-10-25T23:59:59.999Z;2013-10-25T00:00:00.000Z;2013-10-25T00:00:00.000Z;197.690002441;198.869995117;168.5;186.690002441;0;2222012383.5;11902150;2013-10-25T23:59:59.999Z
2013-10-26T00:00:00.000Z;2013-10-26T23:59:59.999Z;2013-10-26T00:00:00.000Z;2013-10-26T00:00:00.000Z;187.449996948;188.410003662;175.75;177.320007324;0;2111296044;11906700;2013-10-26T23:59:59.999Z
2013-10-27T00:00:00.000Z;2013-10-27T23:59:59.999Z;2013-10-27T00:00:00.000Z;2013-10-27T00:00:00.000Z;176.600006103;196.440002441;176.600006103;196.440002441;0;2339831217;11911175;2013-10-27T23:59:59.999Z
2013-10-28T00:00:00.000Z;2013-10-28T23:59:59.999Z;2013-10-28T00:00:00.000Z;2013-10-28T00:00:00.000Z;196.210006714;198.619995117;192.059997559;198.550003052;0;2365837416.25;11915575;2013-10-28T23:59:59.999Z
2013-10-29T00:00:00.000Z;2013-10-29T23:59:59.999Z;2013-10-29T00:00:00.000Z;2013-10-29T00:00:00.000Z;198.550003052;204.789993286;198.550003052;204.38999939;0;2436241934.25;11919575;2013-10-29T23:59:59.999Z
2013-10-30T00:00:00.000Z;2013-10-30T23:59:59.999Z;2013-10-30T00:00:00.000Z;2013-10-30T00:00:00.000Z;204.38999939;209.160003662;199.970001221;199.970001221;0;2384492272.5;11924249.9272;2013-10-30T23:59:59.999Z
2013-10-31T00:00:00.000Z;2013-10-31T23:59:59.999Z;2013-10-31T00:00:00.000Z;2013-10-31T00:00:00.000Z;199.830001831;205.179992676;198.850006103;204;0;2433658800;11929700;2013-10-31T23:59:59.999Z
2013-11-01T00:00:00.000Z;2013-11-01T23:59:59.999Z;2013-11-01T00:00:00.000Z;2013-11-01T00:00:00.000Z;203.899993897;206.649993897;202.130004883;206.179992676;0;2460742836.5;11934925;2013-11-01T23:59:59.999Z
2013-11-02T00:00:00.000Z;2013-11-02T23:59:59.999Z;2013-11-02T00:00:00.000Z;2013-11-02T00:00:00.000Z;205.809997559;207.759994507;201.649993897;206.220001221;0;2462261644.5;11939975;2013-11-02T23:59:59.999Z
2013-11-03T00:00:00.000Z;2013-11-03T23:59:59.999Z;2013-11-03T00:00:00.000Z;2013-11-03T00:00:00.000Z;205.990005493;215.050003052;203.990005493;215.050003052;0;2568713111.25;11944725;2013-11-03T23:59:59.999Z
2013-11-04T00:00:00.000Z;2013-11-04T23:59:59.999Z;2013-11-04T00:00:00.000Z;2013-11-04T00:00:00.000Z;214.660003662;231.009994507;213.940002441;229.100006103;0;2737659087.5;11949625;2013-11-04T23:59:59.999Z
