timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;circulatingSupply;timestamp
"2013-03-10T00:00:00.000Z";"2013-03-10T23:59:59.999Z";"2013-03-10T00:13:00.000Z";"2013-03-10T12:34:00.000Z";"2781";46.21466426;49.15566286;41.36201509;46.27156621;36323.44;503498842.17;10881337.5;"2013-03-10T23:59:59.999Z"
"2013-03-09T00:00:00.000Z";"2013-03-09T23:59:59.999Z";"2013-03-09T11:56:00.000Z";"2013-03-09T00:46:00.000Z";"2781";44.0691934;54.90380996;42.09177542;46.25376735;44562.53;503093024.9;10876748.96;"2013-03-09T23:59:59.999Z"
"2013-03-08T00:00:00.000Z";"2013-03-08T23:59:59.999Z";"2013-03-08T02:38:00.000Z";"2013-03-08T00:31:00.000Z";"2781";42.02206786;53.04415728;40.92783325;44.06320999;47043.47;479081106.15;10872587.5;"2013-03-08T23:59:59.999Z"
"2013-03-07T00:00:00.000Z";"2013-03-07T23:59:59.999Z";"2013-03-07T01:47:00.000Z";"2013-03-07T00:16:00.000Z";"2781";40.96149436;53.40305387;39.81397714;42;157898.36;456479625;10868562.5;"2013-03-07T23:59:59.999Z"
"2013-03-06T00:00:00.000Z";"2013-03-06T23:59:59.999Z";"2013-03-06T12:15:00.000Z";"2013-03-06T00:28:00.000Z";"2781";38.11996321;49.44541401;37.83512083;40.81223027;126795.52;443408046.84;10864562.5;"2013-03-06T23:59:59.999Z"
"2013-03-05T00:00:00.000Z";"2013-03-05T23:59:59.999Z";"2013-03-05T17:25:00.000Z";"2013-03-05T00:23:00.000Z";"2781";34.27958051;39.04147046;31.94087977;38.11063417;85765.94;413908124.84;10860672.92;"2013-03-05T23:59:59.999Z"
"2013-03-04T00:00:00.000Z";"2013-03-04T23:59:59.999Z";"2013-03-04T22:49:00.000Z";"2013-03-04T02:22:00.000Z";"2781";34.33226197;35.77441929;28.00640426;34.27236859;46685.45;372102317.26;10857184.38;"2013-03-04T23:59:59.999Z"
"2013-03-03T00:00:00.000Z";"2013-03-03T23:59:59.999Z";"2013-03-03T02:32:00.000Z";"2013-03-03T00:38:00.000Z";"2781";34.31301423;42.68141456;33.57873497;34.33427862;12482.77;372621771.48;10852737.5;"2013-03-03T23:59:59.999Z"
"2013-03-02T00:00:00.000Z";"2013-03-02T23:59:59.999Z";"2013-03-02T07:20:00.000Z";"2013-03-02T00:25:00.000Z";"2781";34.06585655;38.84508803;32.34238083;34.30720216;36748.77;372189830.6;10848737.5;"2013-03-02T23:59:59.999Z"
"2013-03-01T00:00:00.000Z";"2013-03-01T23:59:59.999Z";"2013-03-01T01:22:00.000Z";"2013-03-01T00:00:00.000Z";"2781";32.04618139;40.96944063;32.04618139;34.05816908;39814.92;369364675.22;10845112.5;"2013-03-01T23:59:59.999Z"
"2013-02-28T00:00:00.000Z";"2013-02-28T23:59:59.999Z";"2013-02-28T12:55:00.000Z";"2013-02-28T01:57:00.000Z";"2781";30.91942017;34.70765945;26.02968306;32.02815427;126830.64;347227229.24;10841312.5;"2013-02-28T23:59:59.999Z"
"2013-02-27T00:00:00.000Z";"2013-02-27T23:59:59.999Z";"2013-02-27T19:34:00.000Z";"2013-02-27T02:45:00.000Z";"2781";30.58781213;33.70528794;25.48741979;31.0517426;30493.42;336511227.88;10837000;"2013-02-27T23:59:59.999Z"
"2013-02-26T00:00:00.000Z";"2013-02-26T23:59:59.999Z";"2013-02-26T03:59:00.000Z";"2013-02-26T19:06:00.000Z";"2781";30.37230069;35.58797432;27.77445283;30.62012654;42947.29;331685631.22;10832222.92;"2013-02-26T23:59:59.999Z"
"2013-02-25T00:00:00.000Z";"2013-02-25T23:59:59.999Z";"2013-02-25T01:17:00.000Z";"2013-02-25T08:03:00.000Z";"2781";29.80775701;31.55789397;25.3403734;30.35694663;26825.02;328708939.22;10828129.17;"2013-02-25T23:59:59.999Z"
"2013-02-24T00:00:00.000Z";"2013-02-24T23:59:59.999Z";"2013-02-24T21:20:00.000Z";"2013-02-24T03:39:00.000Z";"2781";30.26416447;32.71100888;24.89792399;29.81599318;24294.73;322698835.83;10823011.46;"2013-02-24T23:59:59.999Z"
"2013-02-23T00:00:00.000Z";"2013-02-23T23:59:59.999Z";"2013-02-23T08:21:00.000Z";"2013-02-23T00:38:00.000Z";"2781";30.21213508;37.86758161;28.87160829;30.29491769;71992.11;327763617.76;10819095.83;"2013-02-23T23:59:59.999Z"
"2013-02-22T00:00:00.000Z";"2013-02-22T23:59:59.999Z";"2013-02-22T01:56:00.000Z";"2013-02-22T12:00:00.000Z";"2781";29.82337523;38.71373559;29.2927261;30.2113285;66804.81;326736052.72;10814991.67;"2013-02-22T23:59:59.999Z"
"2013-02-21T00:00:00.000Z";"2013-02-21T23:59:59.999Z";"2013-02-21T06:35:00.000Z";"2013-02-21T00:29:00.000Z";"2781";29.65810607;34.9037003;28.67569859;29.74987588;34672.77;321619586.3;10810787.5;"2013-02-21T23:59:59.999Z"
"2013-02-20T00:00:00.000Z";"2013-02-20T23:59:59.999Z";"2013-02-20T06:48:00.000Z";"2013-02-20T00:15:00.000Z";"2781";27.50423436;32.31095947;27.29191045;29.6326173;37238.54;320221545.19;10806387.5;"2013-02-20T23:59:59.999Z"
"2013-02-19T00:00:00.000Z";"2013-02-19T23:59:59.999Z";"2013-02-19T05:05:00.000Z";"2013-02-19T00:12:00.000Z";"2781";27.0188945;32.32613246;25.92462414;27.48716203;99782.98;296903926.4;10801496.88;"2013-02-19T23:59:59.999Z"
"2013-02-18T00:00:00.000Z";"2013-02-18T23:59:59.999Z";"2013-02-18T01:49:00.000Z";"2013-02-18T19:47:00.000Z";"2781";27.25465632;30.32016689;23.98447357;26.92480714;29819.8;290722203.76;10797559.38;"2013-02-18T23:59:59.999Z"
"2013-02-17T00:00:00.000Z";"2013-02-17T23:59:59.999Z";"2013-02-17T02:28:00.000Z";"2013-02-17T00:26:00.000Z";"2781";27.2840741;33.57416986;27.19821511;27.23745492;77280.85;293989172.02;10793562.5;"2013-02-17T23:59:59.999Z"
"2013-02-16T00:00:00.000Z";"2013-02-16T23:59:59.999Z";"2013-02-16T00:20:00.000Z";"2013-02-16T01:17:00.000Z";"2781";27.10131004;28.40683632;23.27124829;27.26222531;18774.26;294128286.73;10788858.33;"2013-02-16T23:59:59.999Z"
"2013-02-15T00:00:00.000Z";"2013-02-15T23:59:59.999Z";"2013-02-15T07:34:00.000Z";"2013-02-15T00:47:00.000Z";"2781";25.91093475;29.98175594;25.02371308;27.15308398;51691.9;292822506.34;10784134.38;"2013-02-15T23:59:59.999Z"
